Area,Area Code,Area Code (M49)
Armenia,1,'051
Afghanistan,2,'004
Albania,3,'008
Algeria,4,'012
Angola,7,'024
Antigua and Barbuda,8,'028
Argentina,9,'032
Australia,10,'036
Austria,11,'040
Bahamas,12,'044
Bahrain,13,'048
Barbados,14,'052
Belgium-Luxembourg,15,'058
Bangladesh,16,'050
Bhutan,18,'064
Bolivia (Plurinational State of),19,'068
Botswana,20,'072
Brazil,21,'076
Belize,23,'084
Solomon Islands,25,'090
Brunei Darussalam,26,'096
Bulgaria,27,'100
Myanmar,28,'104
Burundi,29,'108
Cameroon,32,'120
Canada,33,'124
Cabo Verde,35,'132
Central African Republic,37,'140
Sri Lanka,38,'144
Chad,39,'148
Chile,40,'152
"China, mainland",41,'156
Colombia,44,'170
Comoros,45,'174
Congo,46,'178
Cook Islands,47,'184
Costa Rica,48,'188
Cuba,49,'192
Cyprus,50,'196
Czechoslovakia,51,'200
Azerbaijan,52,'031
Benin,53,'204
Denmark,54,'208
Dominica,55,'212
Dominican Republic,56,'214
Belarus,57,'112
Ecuador,58,'218
Egypt,59,'818
El Salvador,60,'222
Equatorial Guinea,61,'226
Ethiopia PDR,62,'230
Estonia,63,'233
Faroe Islands,64,'234
Fiji,66,'242
Finland,67,'246
France,68,'250
French Guiana,69,'254
French Polynesia,70,'258
Djibouti,72,'262
Georgia,73,'268
Gabon,74,'266
Gambia,75,'270
Germany,79,'276
Bosnia and Herzegovina,80,'070
Ghana,81,'288
Kiribati,83,'296
Greece,84,'300
Grenada,86,'308
Guadeloupe,87,'312
Guatemala,89,'320
Guinea,90,'324
Guyana,91,'328
Haiti,93,'332
Honduras,95,'340
"China, Hong Kong SAR",96,'344
Hungary,97,'348
Croatia,98,'191
Iceland,99,'352
India,100,'356
Indonesia,101,'360
Iran (Islamic Republic of),102,'364
Iraq,103,'368
Ireland,104,'372
Israel,105,'376
Italy,106,'380
Côte d'Ivoire,107,'384
Kazakhstan,108,'398
Jamaica,109,'388
Japan,110,'392
Jordan,112,'400
Kyrgyzstan,113,'417
Kenya,114,'404
Cambodia,115,'116
Democratic People's Republic of Korea,116,'408
Republic of Korea,117,'410
Kuwait,118,'414
Latvia,119,'428
Lao People's Democratic Republic,120,'418
Lebanon,121,'422
Lesotho,122,'426
Liberia,123,'430
Libya,124,'434
Lithuania,126,'440
Marshall Islands,127,'584
"China, Macao SAR",128,'446
Madagascar,129,'450
Malawi,130,'454
Malaysia,131,'458
Maldives,132,'462
Mali,133,'466
Malta,134,'470
Martinique,135,'474
Mauritania,136,'478
Mauritius,137,'480
Mexico,138,'484
Mongolia,141,'496
Morocco,143,'504
Mozambique,144,'508
Micronesia (Federated States of),145,'583
Republic of Moldova,146,'498
Namibia,147,'516
Nauru,148,'520
Nepal,149,'524
Netherlands (Kingdom of the),150,'528
New Caledonia,153,'540
North Macedonia,154,'807
Vanuatu,155,'548
New Zealand,156,'554
Nicaragua,157,'558
Niger,158,'562
Nigeria,159,'566
Niue,160,'570
Norway,162,'578
Pakistan,165,'586
Panama,166,'591
Czechia,167,'203
Papua New Guinea,168,'598
Paraguay,169,'600
Peru,170,'604
Philippines,171,'608
Poland,173,'616
Portugal,174,'620
Guinea-Bissau,175,'624
Timor-Leste,176,'626
Puerto Rico,177,'630
Eritrea,178,'232
Qatar,179,'634
Zimbabwe,181,'716
Réunion,182,'638
Romania,183,'642
Rwanda,184,'646
Russian Federation,185,'643
Serbia and Montenegro,186,'891
Saint Kitts and Nevis,188,'659
Saint Lucia,189,'662
Saint Vincent and the Grenadines,191,'670
Sao Tome and Principe,193,'678
Saudi Arabia,194,'682
Senegal,195,'686
Seychelles,196,'690
Sierra Leone,197,'694
Slovenia,198,'705
Slovakia,199,'703
Singapore,200,'702
Somalia,201,'706
South Africa,202,'710
Spain,203,'724
Sudan (former),206,'736
Suriname,207,'740
Tajikistan,208,'762
Eswatini,209,'748
Sweden,210,'752
Switzerland,211,'756
Syrian Arab Republic,212,'760
Turkmenistan,213,'795
"China, Taiwan Province of",214,'158
United Republic of Tanzania,215,'834
Thailand,216,'764
Togo,217,'768
Tokelau,218,'772
Tonga,219,'776
Trinidad and Tobago,220,'780
Oman,221,'512
Tunisia,222,'788
Türkiye,223,'792
United Arab Emirates,225,'784
Uganda,226,'800
Tuvalu,227,'798
USSR,228,'810
United Kingdom of Great Britain and Northern Ireland,229,'826
Ukraine,230,'804
United States of America,231,'840
Burkina Faso,233,'854
Uruguay,234,'858
Uzbekistan,235,'860
Venezuela (Bolivarian Republic of),236,'862
Viet Nam,237,'704
Ethiopia,238,'231
Samoa,244,'882
Yugoslav SFR,248,'890
Yemen,249,'887
Democratic Republic of the Congo,250,'180
Zambia,251,'894
Belgium,255,'056
Luxembourg,256,'442
Serbia,272,'688
Montenegro,273,'499
Sudan,276,'729
South Sudan,277,'728
Palestine,299,'275
China,351,'159
World,5000,'001
Africa,5100,'002
Eastern Africa,5101,'014
Middle Africa,5102,'017
Northern Africa,5103,'015
Southern Africa,5104,'018
Western Africa,5105,'011
Americas,5200,'019
Northern America,5203,'021
Central America,5204,'013
Caribbean,5206,'029
South America,5207,'005
Asia,5300,'142
Central Asia,5301,'143
Eastern Asia,5302,'030
Southern Asia,5303,'034
South-eastern Asia,5304,'035
Western Asia,5305,'145
Europe,5400,'150
Eastern Europe,5401,'151
Northern Europe,5402,'154
Southern Europe,5403,'039
Western Europe,5404,'155
Oceania,5500,'009
Australia and New Zealand,5501,'053
Melanesia,5502,'054
Micronesia,5503,'057
Polynesia,5504,'061
European Union (27),5707,'097
Least Developed Countries,5801,'199
Land Locked Developing Countries,5802,'432
Small Island Developing States,5803,'722
Low Income Food Deficit Countries,5815,'901
Net Food Importing Developing Countries,5817,'902
