Item,Element,Unit
"Abaca, manila hemp, raw",Area harvested,ha
"Abaca, manila hemp, raw",Production,t
"Abaca, manila hemp, raw",Yield,kg/ha
"Agave fibres, raw, n.e.c.",Area harvested,ha
"Agave fibres, raw, n.e.c.",Production,t
"Agave fibres, raw, n.e.c.",Yield,kg/ha
"Almonds, in shell",Area harvested,ha
"Almonds, in shell",Production,t
"Almonds, in shell",Yield,kg/ha
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Area harvested,ha
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Production,t
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Yield,kg/ha
Apples,Area harvested,ha
Apples,Production,t
Apples,Yield,kg/ha
Apricots,Area harvested,ha
Apricots,Production,t
Apricots,Yield,kg/ha
Areca nuts,Area harvested,ha
Areca nuts,Production,t
Areca nuts,Yield,kg/ha
Artichokes,Area harvested,ha
Artichokes,Production,t
Artichokes,Yield,kg/ha
Asparagus,Area harvested,ha
Asparagus,Production,t
Asparagus,Yield,kg/ha
Asses,Stocks,An
Avocados,Area harvested,ha
Avocados,Production,t
Avocados,Yield,kg/ha
"Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip",Production,t
"Bambara beans, dry",Area harvested,ha
"Bambara beans, dry",Production,t
"Bambara beans, dry",Yield,kg/ha
Bananas,Area harvested,ha
Bananas,Production,t
Bananas,Yield,kg/ha
Barley,Area harvested,ha
Barley,Production,t
Barley,Yield,kg/ha
"Beans, dry",Area harvested,ha
"Beans, dry",Production,t
"Beans, dry",Yield,kg/ha
"Beef and Buffalo Meat, primary",Producing Animals/Slaughtered,An
"Beef and Buffalo Meat, primary",Production,t
"Beef and Buffalo Meat, primary",Yield/Carcass Weight,100 g/An
"Beer of barley, malted",Production,t
Bees,Stocks,No
Beeswax,Production,t
Blueberries,Area harvested,ha
Blueberries,Production,t
Blueberries,Yield,kg/ha
"Brazil nuts, in shell",Production,t
"Broad beans and horse beans, dry",Area harvested,ha
"Broad beans and horse beans, dry",Production,t
"Broad beans and horse beans, dry",Yield,kg/ha
"Broad beans and horse beans, green",Area harvested,ha
"Broad beans and horse beans, green",Production,t
"Broad beans and horse beans, green",Yield,kg/ha
Buckwheat,Area harvested,ha
Buckwheat,Production,t
Buckwheat,Yield,kg/ha
Buffalo,Stocks,An
"Buffalo fat, unrendered",Producing Animals/Slaughtered,An
"Buffalo fat, unrendered",Production,t
Butter and Ghee,Production,t
Butter and ghee of sheep milk,Production,t
Butter of buffalo milk,Production,t
Butter of cow milk,Production,t
Butter of goat milk,Production,t
"Buttermilk, dry",Production,t
Cabbages,Area harvested,ha
Cabbages,Production,t
Cabbages,Yield,kg/ha
Camels,Stocks,An
Canary seed,Area harvested,ha
Canary seed,Production,t
Canary seed,Yield,kg/ha
Cantaloupes and other melons,Area harvested,ha
Cantaloupes and other melons,Production,t
Cantaloupes and other melons,Yield,kg/ha
Carrots and turnips,Area harvested,ha
Carrots and turnips,Production,t
Carrots and turnips,Yield,kg/ha
"Cashew nuts, in shell",Area harvested,ha
"Cashew nuts, in shell",Production,t
"Cashew nuts, in shell",Yield,kg/ha
Cashewapple,Area harvested,ha
Cashewapple,Production,t
Cashewapple,Yield,kg/ha
Cassava leaves,Area harvested,ha
Cassava leaves,Production,t
Cassava leaves,Yield,kg/ha
"Cassava, fresh",Area harvested,ha
"Cassava, fresh",Production,t
"Cassava, fresh",Yield,kg/ha
Castor oil seeds,Area harvested,ha
Castor oil seeds,Production,t
Castor oil seeds,Yield,kg/ha
Cattle,Stocks,An
Cattle and Buffaloes,Stocks,An
"Cattle fat, unrendered",Producing Animals/Slaughtered,An
"Cattle fat, unrendered",Production,t
Cauliflowers and broccoli,Area harvested,ha
Cauliflowers and broccoli,Production,t
Cauliflowers and broccoli,Yield,kg/ha
Cereals n.e.c.,Area harvested,ha
Cereals n.e.c.,Production,t
Cereals n.e.c.,Yield,kg/ha
"Cereals, primary",Area harvested,ha
"Cereals, primary",Production,t
"Cereals, primary",Yield,kg/ha
Cheese (All Kinds),Production,t
"Cheese from milk of buffalo, fresh or processed",Production,t
"Cheese from milk of goats, fresh or processed",Production,t
"Cheese from milk of sheep, fresh or processed",Production,t
Cheese from skimmed cow milk,Production,t
Cheese from whole cow milk,Production,t
Cherries,Area harvested,ha
Cherries,Production,t
Cherries,Yield,kg/ha
"Chestnuts, in shell",Area harvested,ha
"Chestnuts, in shell",Production,t
"Chestnuts, in shell",Yield,kg/ha
"Chick peas, dry",Area harvested,ha
"Chick peas, dry",Production,t
"Chick peas, dry",Yield,kg/ha
Chickens,Stocks,1000 An
Chicory roots,Area harvested,ha
Chicory roots,Production,t
Chicory roots,Yield,kg/ha
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",Area harvested,ha
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",Production,t
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",Yield,kg/ha
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",Area harvested,ha
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",Production,t
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",Yield,kg/ha
"Cinnamon and cinnamon-tree flowers, raw",Area harvested,ha
"Cinnamon and cinnamon-tree flowers, raw",Production,t
"Cinnamon and cinnamon-tree flowers, raw",Yield,kg/ha
"Citrus Fruit, Total",Area harvested,ha
"Citrus Fruit, Total",Production,t
"Citrus Fruit, Total",Yield,kg/ha
"Cloves (whole stems), raw",Area harvested,ha
"Cloves (whole stems), raw",Production,t
"Cloves (whole stems), raw",Yield,kg/ha
Cocoa beans,Area harvested,ha
Cocoa beans,Production,t
Cocoa beans,Yield,kg/ha
Coconut oil,Production,t
"Coconuts, in shell",Area harvested,ha
"Coconuts, in shell",Production,t
"Coconuts, in shell",Yield,kg/ha
"Coffee, green",Area harvested,ha
"Coffee, green",Production,t
"Coffee, green",Yield,kg/ha
"Coir, raw",Area harvested,ha
"Coir, raw",Production,t
"Cotton lint, ginned",Production,t
Cotton seed,Production,t
Cottonseed oil,Production,t
"Cow peas, dry",Area harvested,ha
"Cow peas, dry",Production,t
"Cow peas, dry",Yield,kg/ha
Cranberries,Area harvested,ha
Cranberries,Production,t
Cranberries,Yield,kg/ha
"Cream, fresh",Production,t
Cucumbers and gherkins,Area harvested,ha
Cucumbers and gherkins,Production,t
Cucumbers and gherkins,Yield,kg/ha
Currants,Area harvested,ha
Currants,Production,t
Currants,Yield,kg/ha
Dates,Area harvested,ha
Dates,Production,t
Dates,Yield,kg/ha
Ducks,Stocks,1000 An
"Edible offal of buffalo, fresh, chilled or frozen",Producing Animals/Slaughtered,An
"Edible offal of buffalo, fresh, chilled or frozen",Production,t
"Edible offal of cattle, fresh, chilled or frozen",Producing Animals/Slaughtered,An
"Edible offal of cattle, fresh, chilled or frozen",Production,t
"Edible offal of goat, fresh, chilled or frozen",Producing Animals/Slaughtered,An
"Edible offal of goat, fresh, chilled or frozen",Production,t
